,Name,Score,Category,Price_Range
428,1. Knoll Coffee Roasters,9.6,Café,$
429,2. ساين,9.6,Burgers,$
430,3. Al Hatab Bakery,9.5,Bakery,$
431,4. Red Box,9.5,Restaurant,$
432,5. WHJ CAFE,9.3,Café,$
433,6. Al Afrah Restaurant,9.3,Breakfast,$
434,7. Mama Noura,9.3,Shawarma Restaurant,$
435,8. DIA BAKERY,9.3,Bakery,$
436,9. Urth Caffé,9.2,Café,$
437,10. Al Hatab Bakery,9.2,Bakery,$$
438,11. BLANCA,9.2,Pizza,$
439,12. Armin,9.2,Eastern European,$
440,13. Dunkin' Donuts,9.2,Donuts,$
441,14. Al Hatab Bakery,9.1,Bakery,$
442,15. dr.CAFE COFFEE,9.1,Café,$$
443,16. كبدون,9.1,Breakfast,$$
444,17. Spread,9.1,BBQ,$
445,18. La Casa Pasta,9.1,Italian,$
446,19. Mama Noura,9.1,Shawarma Restaurant,$
447,20. Al Hatab Bakery,9.1,Bakery,$
448,21. Dunkin' Donuts,9.1,Donuts,$
449,22. دوار السعادة,9.1,Breakfast,$
450,23. Mama Noura,9.0,Shawarma Restaurant,$
451,24. Dunkin Dounts,9.0,Donuts,$
452,25. دانكن دونتس,9.0,Donuts,$
453,26. أفران الحطب || Alhatab Bakery,9.0,Bakery,$
454,1. Knoll Coffee Roasters,9.6,Café,$
455,2. ساين,9.6,Burgers,$
456,3. Al Hatab Bakery,9.5,Bakery,$
457,4. Red Box,9.5,Restaurant,$
458,5. WHJ CAFE,9.3,Café,$
459,6. Al Afrah Restaurant,9.3,Breakfast,$
460,7. Mama Noura,9.3,Shawarma Restaurant,$
461,8. DIA BAKERY,9.3,Bakery,$
462,9. Urth Caffé,9.2,Café,$
463,10. Al Hatab Bakery,9.2,Bakery,$$
464,11. BLANCA,9.2,Pizza,$
465,12. Armin,9.2,Eastern European,$
466,13. Dunkin' Donuts,9.2,Donuts,$
467,14. Al Hatab Bakery,9.1,Bakery,$
468,15. dr.CAFE COFFEE,9.1,Café,$$
469,16. كبدون,9.1,Breakfast,$$
470,17. Spread,9.1,BBQ,$
471,18. La Casa Pasta,9.1,Italian,$
472,19. Mama Noura,9.1,Shawarma Restaurant,$
473,20. Al Hatab Bakery,9.1,Bakery,$
474,21. Dunkin' Donuts,9.1,Donuts,$
475,22. دوار السعادة,9.1,Breakfast,$
476,23. Mama Noura,9.0,Shawarma Restaurant,$
477,24. Dunkin Dounts,9.0,Donuts,$
478,25. دانكن دونتس,9.0,Donuts,$
479,26. أفران الحطب || Alhatab Bakery,9.0,Bakery,$
480,1. Knoll Coffee Roasters,9.6,Café,$
481,2. ساين,9.6,Burgers,$
482,3. Al Hatab Bakery,9.5,Bakery,$
483,4. Red Box,9.5,Restaurant,$
484,5. WHJ CAFE,9.3,Café,$
485,6. Al Afrah Restaurant,9.3,Breakfast,$
486,7. Mama Noura,9.3,Shawarma Restaurant,$
487,8. DIA BAKERY,9.3,Bakery,$
488,9. Urth Caffé,9.2,Café,$
