,Name,Score,Category,Price_Range
39,8. مضغوط تهامة,9.0,Fried Chicken,$
40,1. فرن صحيفة وفطائر شامية,9.3,Bakery,$
41,2. مطاعم ومطابخ باخلعه- مندي ومكتوم,9.2,Middle Eastern,$$
42,3. محامص ومطاحن السوادي,9.2,Snacks,$
43,4. Fawal Alafrah,9.1,Breakfast,$
44,5. Finding Sushi,9.1,Sushi,$$
45,6. AL TYSEER,9.0,Middle Eastern,$$
46,7. AlNaqaa,9.0,Breakfast,$
47,8. مضغوط تهامة,9.0,Fried Chicken,$
48,1. فرن صحيفة وفطائر شامية,9.3,Bakery,$
49,2. مطاعم ومطابخ باخلعه- مندي ومكتوم,9.2,Middle Eastern,$$
50,3. محامص ومطاحن السوادي,9.2,Snacks,$
51,4. Fawal Alafrah,9.1,Breakfast,$
52,5. Finding Sushi,9.1,Sushi,$$
53,6. AL TYSEER,9.0,Middle Eastern,$$
54,7. AlNaqaa,9.0,Breakfast,$
55,8. مضغوط تهامة,9.0,Fried Chicken,$
56,1. فرن صحيفة وفطائر شامية,9.3,Bakery,$
57,2. مطاعم ومطابخ باخلعه- مندي ومكتوم,9.2,Middle Eastern,$$
58,3. محامص ومطاحن السوادي,9.2,Snacks,$
59,4. Fawal Alafrah,9.1,Breakfast,$
60,5. Finding Sushi,9.1,Sushi,$$
61,6. AL TYSEER,9.0,Middle Eastern,$$
62,7. AlNaqaa,9.0,Breakfast,$
63,8. مضغوط تهامة,9.0,Fried Chicken,$
64,1. فرن صحيفة وفطائر شامية,9.3,Bakery,$
65,2. مطاعم ومطابخ باخلعه- مندي ومكتوم,9.2,Middle Eastern,$$
66,3. محامص ومطاحن السوادي,9.2,Snacks,$
67,4. Fawal Alafrah,9.1,Breakfast,$
68,5. Finding Sushi,9.1,Sushi,$$
69,6. AL TYSEER,9.0,Middle Eastern,$$
70,7. AlNaqaa,9.0,Breakfast,$
71,8. مضغوط تهامة,9.0,Fried Chicken,$
72,1. فرن صحيفة وفطائر شامية,9.3,Bakery,$
73,2. مطاعم ومطابخ باخلعه- مندي ومكتوم,9.2,Middle Eastern,$$
74,3. محامص ومطاحن السوادي,9.2,Snacks,$
75,4. Fawal Alafrah,9.1,Breakfast,$
76,5. Finding Sushi,9.1,Sushi,$$
77,6. AL TYSEER,9.0,Middle Eastern,$$
78,7. AlNaqaa,9.0,Breakfast,$
79,8. مضغوط تهامة,9.0,Fried Chicken,$
80,1. Dunkin’,9.6,Donuts,$
81,2. Plenty Sld’s,9.6,Salad,$
82,3. Shml,9.5,Café,$
83,4. Dunkin,9.5,Donuts,$
84,5. شاهي ابو وليد,9.5,Café,$
85,6. Aseeb Najdi Restaurant,9.5,Restaurant,$
86,7. Easy Bakery,9.5,Bakery,$
87,8. The Sift,9.5,Bakery,$
88,9. Plenty Sld’s,9.5,Salad,$
89,10. Fabrica De Cafe,9.4,Café,$
90,11. BAC Bakehouse & Coffee,9.4,Bakery,$
91,12. Biox,9.4,Bakery,$
92,13. Unsörso Cafè,9.4,Café,$
93,14. Fabrica De Cafe,9.4,Café,$
94,15. دوّار السّعادة,9.4,Breakfast,$
95,16. McDonald's,9.4,Fast Food,$
96,17. FISHFACE,9.4,Poke Restaurant,$
97,18. Half Million,9.4,Café,$
98,19. The60Pasta,9.4,Food Truck,$
99,20. فوال الافراح,9.4,Breakfast,$$$
100,21. Dopeamine,9.4,Bakery,$
101,22. أسماك دلة,9.4,Seafood,$$
102,23. Graph,9.3,Café,$
103,24. SHiRO,9.3,Japanese,$
104,25. Ghemar Cafe,9.3,Bakery,$$$
105,26. Lavash,9.3,Armenian,$$
106,27. Wasl Cafe,9.3,Café,$
107,1. Dunkin’,9.6,Donuts,$
108,2. Plenty Sld’s,9.6,Salad,$
109,3. Shml,9.5,Café,$
110,4. Dunkin,9.5,Donuts,$
111,5. شاهي ابو وليد,9.5,Café,$
112,6. Aseeb Najdi Restaurant,9.5,Restaurant,$
113,7. Easy Bakery,9.5,Bakery,$
114,8. The Sift,9.5,Bakery,$
115,9. Plenty Sld’s,9.5,Salad,$
116,10. Fabrica De Cafe,9.4,Café,$
117,11. BAC Bakehouse & Coffee,9.4,Bakery,$
118,12. Biox,9.4,Bakery,$
119,13. Unsörso Cafè,9.4,Café,$
120,14. Fabrica De Cafe,9.4,Café,$
121,15. دوّار السّعادة,9.4,Breakfast,$
122,16. McDonald's,9.4,Fast Food,$
123,17. FISHFACE,9.4,Poke Restaurant,$
124,18. Half Million,9.4,Café,$
125,19. The60Pasta,9.4,Food Truck,$
126,20. فوال الافراح,9.4,Breakfast,$$$
127,21. Dopeamine,9.4,Bakery,$
128,22. أسماك دلة,9.4,Seafood,$$
129,23. Graph,9.3,Café,$
130,24. SHiRO,9.3,Japanese,$
131,25. Ghemar Cafe,9.3,Bakery,$$$
132,26. Lavash,9.3,Armenian,$$
133,27. Wasl Cafe,9.3,Café,$
134,1. Dunkin’,9.6,Donuts,$
135,2. Plenty Sld’s,9.6,Salad,$
136,3. Shml,9.5,Café,$
137,4. Dunkin,9.5,Donuts,$
138,5. شاهي ابو وليد,9.5,Café,$
139,6. Aseeb Najdi Restaurant,9.5,Restaurant,$
140,7. Easy Bakery,9.5,Bakery,$
141,8. The Sift,9.5,Bakery,$
142,9. Plenty Sld’s,9.5,Salad,$
143,10. Fabrica De Cafe,9.4,Café,$
144,11. BAC Bakehouse & Coffee,9.4,Bakery,$
145,12. Biox,9.4,Bakery,$
146,13. Unsörso Cafè,9.4,Café,$
147,14. Fabrica De Cafe,9.4,Café,$
148,15. دوّار السّعادة,9.4,Breakfast,$
149,16. McDonald's,9.4,Fast Food,$
150,17. FISHFACE,9.4,Poke Restaurant,$
151,18. Half Million,9.4,Café,$
152,19. The60Pasta,9.4,Food Truck,$
153,20. فوال الافراح,9.4,Breakfast,$$$
154,21. Dopeamine,9.4,Bakery,$
155,22. أسماك دلة,9.4,Seafood,$$
156,23. Graph,9.3,Café,$
157,24. SHiRO,9.3,Japanese,$
158,25. Ghemar Cafe,9.3,Bakery,$$$
159,26. Lavash,9.3,Armenian,$$
160,27. Wasl Cafe,9.3,Café,$
161,1. Dunkin’,9.6,Donuts,$
162,2. Plenty Sld’s,9.6,Salad,$
163,3. Shml,9.5,Café,$
164,4. Dunkin,9.5,Donuts,$
165,5. شاهي ابو وليد,9.5,Café,$
166,6. Aseeb Najdi Restaurant,9.5,Restaurant,$
167,7. Easy Bakery,9.5,Bakery,$
168,8. The Sift,9.5,Bakery,$
169,9. Plenty Sld’s,9.5,Salad,$
170,10. Fabrica De Cafe,9.4,Café,$
171,11. BAC Bakehouse & Coffee,9.4,Bakery,$
172,12. Biox,9.4,Bakery,$
173,13. Unsörso Cafè,9.4,Café,$
174,14. Fabrica De Cafe,9.4,Café,$
175,15. دوّار السّعادة,9.4,Breakfast,$
176,16. McDonald's,9.4,Fast Food,$
177,17. FISHFACE,9.4,Poke Restaurant,$
178,18. Half Million,9.4,Café,$
179,19. The60Pasta,9.4,Food Truck,$
180,20. فوال الافراح,9.4,Breakfast,$$$
181,21. Dopeamine,9.4,Bakery,$
182,22. أسماك دلة,9.4,Seafood,$$
183,23. Graph,9.3,Café,$
184,24. SHiRO,9.3,Japanese,$
185,25. Ghemar Cafe,9.3,Bakery,$$$
186,26. Lavash,9.3,Armenian,$$
187,27. Wasl Cafe,9.3,Café,$
188,1. Dunkin’,9.6,Donuts,$
189,2. Plenty Sld’s,9.6,Salad,$
190,3. Shml,9.5,Café,$
191,4. Dunkin,9.5,Donuts,$
192,5. شاهي ابو وليد,9.5,Café,$
193,6. Aseeb Najdi Restaurant,9.5,Restaurant,$
194,7. Easy Bakery,9.5,Bakery,$
195,8. The Sift,9.5,Bakery,$
196,9. Plenty Sld’s,9.5,Salad,$
197,10. Fabrica De Cafe,9.4,Café,$
198,11. BAC Bakehouse & Coffee,9.4,Bakery,$
199,12. Biox,9.4,Bakery,$
200,13. Unsörso Cafè,9.4,Café,$
